Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,POS,PITCH,MLB,NL,MLB/NL
Lee Smith,2019,18,1980,1997,7,29.33,71,92,0.436,3.03,1022,6,802,0,0,478,1289.1,1133,475,434,89,486,100,1251,10,4,47,5388,0,1,1,0,0
Trevor Hoffman,2018,18,1993,2010,7,28.12,61,75,0.449,2.87,1035,0,856,0,0,601,1089.1,846,378,347,100,307,58,1133,9,0,49,4388,0,1,1,0,0
John Ward,1964,17,1878,1894,0,28.06,164,103,0.614,2.1,293,262,32,245,24,3,2469.2,2324,1185,576,26,253,,920,,0,144,10164,0,1,1,0,0
Billy Wagner,2025,16,1995,2010,7,27.75,47,40,0.54,2.31,853,0,703,0,0,422,903,601,262,232,82,300,26,1196,33,1,43,3600,0,1,1,0,0
Andy Cooper,2006,14,1920,1939,2,26.62,118,64,0.648,3.58,288,183,44,105,12,24,1603.1,1585,811,638,52,357,1,719,42,2,11,5130,0,1,0,1,0
Rollie Fingers,1992,17,1968,1985,7,24.99,114,118,0.491,2.9,944,37,709,4,2,341,1701.1,1474,615,549,123,492,109,1299,39,7,40,6942,0,1,1,0,0
Bruce Sutter,2006,12,1976,1988,6,24.43,68,71,0.489,2.83,661,0,512,0,0,300,1042,879,370,328,77,309,83,861,13,8,37,4251,0,1,1,0,0
Babe Ruth,1936,22,1914,1935,2,20.36,94,46,0.671,2.28,163,147,12,107,17,4,1221.1,974,400,309,10,441,0,488,29,4,25,4896,0,1,1,0,0
Hilton Smith,2001,13,1932,1948,7,19.4,70,38,0.648,2.92,162,100,40,62,8,11,943,855,402,306,13,187,0,594,13,1,5,3064,0,1,0,1,0
Leon Day,1995,10,1934,1946,9,14.36,50,22,0.694,3.58,92,77,2,52,9,3,616.1,542,297,245,19,241,0,432,15,0,1,1915,0,1,0,1,0
Hank O'Day,2013,7,1884,1890,0,8.93,73,110,0.399,3.74,201,192,8,177,5,4,1651.1,1655,1128,687,65,578,,663,81,0,122,7247,0,0,1,0,0
