playerID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,BA,OBP,SLG
tarasto01,457,1006,151,241,46,5,34,118,39,10,106,171,14,4,6,7,15,1129,0.239562624,0.310894597,0.396620278
tarbear01,39,86,6,16,2,0,0,7,1,0,4,13,0,3,4,0,0,97,0.186046512,0.237113402,0.209302326
tarnofr01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tarplst01,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tarraja01,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0.25,0.25,0.75
tartada01,1406,5011,756,1366,289,22,262,925,37,30,768,1362,47,17,2,44,110,5842,0.272600279,0.368195823,0.495909
tartajo01,749,1857,247,484,56,24,2,107,81,28,115,136,0,1,37,10,16,2020,0.260635433,0.297029703,0.319870759
tartatr01,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.5,0.5
tarvela01,13,25,3,3,0,0,0,1,0,1,1,4,0,0,0,0,0,26,0.12,0.153846154,0.12
tasbywi01,583,1868,246,467,61,10,46,174,12,20,201,327,7,16,19,7,45,2111,0.25,0.324017054,0.367237687
taschja01,222,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,0,0.166666667,0
tatajo01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tateal01,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.333333333,0.333333333,0.333333333
tatebe01,566,1560,144,435,68,16,4,173,5,15,118,51,0,1,34,0,2,1713,0.278846154,0.323409224,0.350641026
tatedi01,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tatehu01,4,13,1,4,0,1,0,2,1,0,0,1,0,0,0,0,0,13,0.307692308,0.307692308,0.461538462
tatele01,51,85,9,14,3,1,1,5,0,0,9,10,1,1,2,0,3,97,0.164705882,0.24742268,0.258823529
tatepo01,227,822,101,179,22,9,2,71,17,0,41,73,0,17,0,0,0,880,0.217761557,0.269318182,0.273722628
tatera01,26,41,2,0,0,0,0,0,0,1,1,22,0,0,5,0,0,47,0,0.021276596,0
tatero01,41,166,20,33,5,3,0,12,6,0,6,0,0,0,1,0,0,173,0.198795181,0.225433526,0.265060241
tatest01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tateyyo01,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tatisfe01,949,3051,427,807,174,14,113,448,50,21,321,709,16,59,13,24,96,3468,0.264503441,0.342272203,0.441822353
tatisfe02,671,2603,476,720,136,12,152,393,124,27,293,690,15,28,1,14,46,2939,0.276603919,0.35420211,0.513253938
tatisra01,78,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0.25,0
tatumcr01,100,269,21,60,8,0,1,22,2,0,25,52,1,1,3,1,12,299,0.223048327,0.287625418,0.26394052
