,playerID,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
1429,burgoju01,1,1,12.15,13,0,4,0,0,0,40,17,10,9,2,8,1,14,1,0,13.33333333,0.5
1430,burgora01,0,0,9,1,0,0,0,0,0,3,3,1,1,0,1,0,1,0,0,1,NA
1431,burkael01,1,1,18.53,16,3,8,1,0,0,126,47,23,23,0,26,0,9,1,1,42,0.5
1432,burkebi01,0,1,6,2,2,0,1,0,0,45,21,14,10,0,5,0,3,2,0,15,0
1433,burkebi02,1,1,22.98,21,2,17,1,0,0,202,74,39,36,1,34,0,23,2,0,67.33333333,0.5
1434,burkebo01,38,46,39.59,254,88,93,27,4,5,2756,926,506,437,35,360,0,299,24,3,918.6666667,0.452380952
1435,burkebr01,21,12,29.89,214,8,37,0,0,0,793,252,125,114,40,78,11,249,11,2,264.3333333,0.636363636
1436,burkeer02,4,4,12.21,15,8,6,6,1,0,267,113,52,38,0,20,0,26,2,0,89,0.5
1437,burkegr01,3,6,9.82,80,0,25,0,0,0,232,91,50,41,7,38,7,61,1,0,77.33333333,0.333333333
1438,burkeja01,19,16,19.73,40,38,2,34,0,0,1002,345,218,112,10,34,0,256,0,0,334,0.542857143
1439,burkeja02,0,1,9,1,0,1,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0
1440,burkeje01,3,11,19.07,23,14,8,6,0,0,369,144,129,76,3,94,0,84,14,0,123,0.214285714
1441,burkejo02,0,1,5.79,2,1,1,1,0,0,42,21,11,9,0,3,0,3,0,0,14,0
1442,burkejo03,166,136,69.73,445,423,8,21,6,1,7945,2866,1374,1268,257,700,59,1766,90,8,2648.333333,0.549668874
1443,burkejo04,4,6,14.03,28,9,4,0,0,0,224,104,59,56,16,33,0,58,7,0,74.66666667,0.4
1444,burkese01,6,11,5.64,32,25,1,0,0,0,460,143,80,66,25,70,0,155,6,0,153.3333333,0.352941176
1445,burkest01,0,2,6.36,24,0,14,0,0,0,194,58,28,24,2,31,1,22,1,0,64.66666667,0
1446,burketi01,49,33,30.83,498,2,262,0,0,102,2098,624,251,211,49,219,71,444,21,2,699.3333333,0.597560976
1447,burkhke01,27,20,26.62,148,41,48,18,6,7,1559,546,233,222,35,165,0,181,12,2,519.6666667,0.574468085
1448,burksa01,4,11,22.97,52,21,26,5,0,2,655,206,122,103,2,133,0,86,12,2,218.3333333,0.266666667
1449,burleal01,0,0,21.6,3,0,3,0,0,0,8,9,4,4,1,0,0,1,1,0,2.666666667,NA
1450,burneaj01,164,157,68.27,435,430,1,24,10,0,8194,2519,1328,1210,263,1100,35,2513,143,6,2731.333333,0.510903427
1451,burneal01,8,11,34.57,177,0,42,0,0,0,517,178,96,90,14,72,9,108,13,2,172.3333333,0.421052632
1452,burneco01,63,38,27.88,210,149,16,0,0,2,2904,756,374,339,104,280,3,1114,38,7,968,0.623762376
1453,burnese01,15,23,41.98,380,13,70,1,1,10,1135,358,154,148,37,148,24,277,13,0,378.3333333,0.394736842
1454,burnewa01,14,21,10.68,68,27,21,5,1,1,788,259,124,104,23,97,6,122,3,3,262.6666667,0.4
1455,burnhwi01,0,0,0,2,0,1,0,0,1,14,1,0,0,0,1,0,0,0,0,4.666666667,NA
1456,burnsan01,0,0,18,1,0,1,0,0,0,3,3,2,2,1,0,0,1,0,0,1,NA
1457,burnsbi01,30,52,20.28,117,85,21,45,10,2,2153,705,331,217,14,147,0,233,38,7,717.6666667,0.365853659
1458,burnsbr01,70,60,40.37,193,161,8,39,11,3,3283,1045,499,445,93,362,8,734,24,6,1094.333333,0.538461538
1459,burnsch01,0,3,4.57,13,8,1,0,0,0,130,41,25,22,5,16,0,67,0,0,43.33333333,0
1460,burnsco01,1,1,8.68,27,0,13,0,0,0,88,38,15,15,2,17,3,23,2,0,29.33333333,0.5
1461,burnsde01,8,9,7.08,41,20,10,9,0,1,543,212,110,93,4,75,0,34,1,1,181,0.470588235
1462,burnsdi01,25,27,15.97,58,53,5,47,1,0,1381,473,304,157,15,80,0,199,0,0,460.3333333,0.480769231
1463,burnsfa01,0,0,9,1,0,1,0,0,0,3,2,1,1,0,1,0,0,1,0,1,NA
1464,burnsmi01,3,5,24.17,60,8,20,0,0,0,311,129,71,67,18,29,5,75,8,0,103.6666667,0.375
1465,burnsoy01,8,5,20.37,25,11,11,10,1,4,416,152,105,63,2,30,0,40,16,1,138.6666667,0.615384615
1466,burnspe01,19,36,46.48,196,64,53,14,3,7,1702,607,337,303,73,230,8,303,13,6,567.3333333,0.345454545
1467,burnssh01,2,1,17.26,19,0,6,0,0,0,90,38,21,20,3,11,2,18,1,0,30,0.666666667
1468,burnsto01,0,0,0,1,0,0,0,0,0,4,2,4,0,0,2,0,1,0,0,1.333333333,NA
1469,burnsto02,21,23,26.32,203,33,61,2,0,13,1469,439,209,189,43,175,21,252,8,9,489.6666667,0.477272727
1470,burnswi01,4,10,71.55,35,15,10,4,0,0,413,192,143,121,12,70,0,47,7,0,137.6666667,0.285714286
1471,burpoge01,0,0,15.43,2,0,1,0,0,0,7,4,4,4,0,5,0,1,0,0,2.333333333,NA
1472,burrebr01,18,25,37.3,106,56,15,0,0,0,1075,422,239,229,45,160,7,224,17,1,358.3333333,0.418604651
1473,burreha01,4,2,4.81,7,4,3,3,0,1,129,51,36,23,4,21,0,19,2,0,43,0.666666667
1474,burrial01,0,0,18,1,0,1,0,0,0,15,14,10,10,0,2,0,0,0,0,5,NA
1475,burrira01,108,134,76.86,480,302,65,47,10,4,6566,2310,1133,1015,221,764,76,1065,54,14,2188.666667,0.446280992
1476,burrisa01,0,2,16.88,6,0,4,0,0,0,30,13,12,12,1,7,0,4,1,0,10,0
1477,burrobe01,0,1,39.54,11,1,3,0,0,0,53,24,22,21,8,11,0,11,1,0,17.66666667,0
1478,burrojo01,0,3,30.08,30,2,17,0,0,2,130,40,31,27,0,28,0,22,3,0,43.33333333,0
1479,burromi01,3,4,6.64,24,19,0,0,0,0,298,90,45,43,14,34,1,99,5,0,99.33333333,0.428571429
1480,burrose01,0,0,27,1,0,1,0,0,0,3,4,3,3,1,0,0,0,0,0,1,NA
1481,burrote01,4,4,28.74,50,3,14,0,0,1,206,85,55,49,15,38,1,35,4,0,68.66666667,0.5
1482,burrry01,5,5,24.61,102,6,18,0,0,0,329,95,55,49,16,52,1,116,3,0,109.6666667,0.5
1483,burtodi01,1,4,4.71,10,5,2,2,0,0,109,37,26,19,1,13,0,15,0,0,36.33333333,0.2
1484,burtoja01,18,19,24.35,367,0,87,0,0,10,1083,311,155,138,31,136,22,305,21,2,361,0.486486486
1485,burtoji01,1,2,2.89,30,4,9,0,0,1,167,60,30,17,6,20,2,42,0,0,55.66666667,0.333333333
1486,burtsmo01,10,6,30.47,90,1,50,0,0,4,556,178,107,97,15,126,5,97,14,0,185.3333333,0.625
